Cidade,date,SO2,NO2,O3,CO,PM2.5,PM10,rh_sensor
Rio Branco do Sul,2024-01-12T07:00:00Z,2.9671499999999997,66.00993333333332,0,0,1.8908333333333334,8.1975,64.87583333333333
Rio Branco do Sul,2024-01-12T08:00:00Z,67.01305,94.06893333333333,0,0.018208333333333333,4.635833333333333,34.156666666666666,65.8575
Rio Branco do Sul,2024-01-12T09:00:00Z,59.03515,80.45616666666666,0,0.11595833333333332,3.53,35.04416666666667,64.79416666666667
Rio Branco do Sul,2024-01-12T10:00:00Z,27.060233333333333,74.88666666666667,0,0.07570833333333332,2.776666666666667,22.123333333333335,62.94833333333334
Rio Branco do Sul,2024-01-12T11:00:00Z,3.3492333333333333,54.24426666666667,0,0.033541666666666664,4.039166666666667,24.6625,56.4925
Rio Branco do Sul,2024-01-12T12:00:00Z,6.943,70.80393333333333,0,0.049833333333333334,4.265833333333333,38.04,54.983333333333334
Rio Branco do Sul,2024-01-12T13:00:00Z,25.540633333333332,80.48593333333334,0,0.02970833333333333,2.535,25.151666666666667,53.9975
Rio Branco do Sul,2024-01-12T14:00:00Z,11.100066666666667,64.99003333333333,0,0.025875,1.1291666666666667,10.170833333333333,53.538333333333334
Rio Branco do Sul,2024-01-12T15:00:00Z,23.62803333333333,80.62693333333333,0,0.044083333333333335,1.3466666666666667,13.485,53.07416666666667
Rio Branco do Sul,2024-01-12T16:00:00Z,42.29553333333334,87.91976666666666,0,0.06708333333333333,2.2583333333333333,21.348333333333333,53.763333333333335
Rio Branco do Sul,2024-01-12T17:00:00Z,30.571033333333332,75.03236666666666,0,0.003833333333333333,2.609166666666667,20.55,52.6075
Rio Branco do Sul,2024-01-12T18:00:00Z,144.69386666666668,114.10189999999999,0,0.12074999999999998,0.86,5.6241666666666665,62.354166666666664
Rio Branco do Sul,2024-01-12T19:00:00Z,15.040983333333335,59.503566666666664,0,0.015333333333333332,1.4916666666666667,10.864166666666666,58.66
Rio Branco do Sul,2024-01-12T20:00:00Z,8.322866666666668,61.49166666666667,0,0,1.44,11.668333333333333,56.02583333333333
Rio Branco do Sul,2024-01-12T21:00:00Z,29.302516666666666,79.79816666666666,0,0.013416666666666667,1.1075,9.316666666666666,59.026666666666664
Rio Branco do Sul,2024-01-12T22:00:00Z,9.307549999999999,71.12196666666665,0,9.583333333333333e-4,0.7391666666666666,6.823333333333333,59.5625
Rio Branco do Sul,2024-01-12T23:00:00Z,13.4668,73.6396,0,0,0.8383333333333334,4.775833333333333,60.13583333333334
Rio Branco do Sul,2024-01-13T00:00:00Z,19.606333333333335,76.74943333333333,0,0.002875,1.0291666666666668,6.65,61.089166666666664
Rio Branco do Sul,2024-01-13T01:00:00Z,6.172283333333334,72.80143333333334,0,0,1.2866666666666666,6.950833333333334,61.123333333333335
Rio Branco do Sul,2024-01-13T02:00:00Z,1.9388,66.74783333333332,0,0.002875,1.1033333333333333,6.140833333333333,60.44166666666667
Rio Branco do Sul,2024-01-13T03:00:00Z,0,61.9178,0,0,1.8483333333333334,9.09,59.08833333333333
Rio Branco do Sul,2024-01-13T04:00:00Z,0.20741666666666667,71.50736666666667,0,0,2.913333333333333,13.080833333333333,59.380833333333335
Rio Branco do Sul,2024-01-13T05:00:00Z,4.1658,65.9786,0,0,2.069166666666667,6.678333333333334,59.63916666666667
Rio Branco do Sul,2024-01-13T06:00:00Z,0.9934166666666666,64.58269999999999,0,0,2.195,7.010833333333333,57.4975
Rio Branco do Sul,2024-01-13T07:00:00Z,9.460383333333334,76.0037,0,0,2.5716666666666668,9.364166666666666,58.93083333333333
Rio Branco do Sul,2024-01-13T08:00:00Z,12.482116666666668,76.3562,0,0,3.3225,13.694166666666668,59.3925
Rio Branco do Sul,2024-01-13T09:00:00Z,5.510733333333333,74.44643333333333,0,0,2.9899999999999998,12.684166666666666,59.33416666666667
Rio Branco do Sul,2024-01-13T10:00:00Z,6.9801166666666665,73.81506666666667,0,0.012458333333333333,2.453333333333333,10.661666666666667,58.91916666666667
Rio Branco do Sul,2024-01-13T11:00:00Z,3.803366666666667,68.23303333333334,0,0,2.1691666666666665,10.254166666666666,57.52583333333333
Rio Branco do Sul,2024-01-13T12:00:00Z,3.299016666666667,67.71133333333333,0,0,3.3449999999999998,15.8725,55.84583333333333
Rio Branco do Sul,2024-01-13T13:00:00Z,0.15938333333333332,67.51236666666667,0,0,3.024166666666667,15.538333333333334,55.11666666666667
Rio Branco do Sul,2024-01-13T14:00:00Z,4.128683333333334,68.1735,0,0,2.5666666666666664,13.65,53.835
Rio Branco do Sul,2024-01-13T15:00:00Z,15.674150000000003,70.73813333333332,0,0,2.6983333333333333,17.52166666666667,52.4475
Rio Branco do Sul,2024-01-13T16:00:00Z,23.77769090909091,79.76498181818182,0,0,1.3254545454545454,6.934545454545455,52.36454545454546
Rio Branco do Sul,2024-01-13T17:00:00Z,9.54335,67.0784,0,0,1.2716666666666667,7.128333333333333,49.575833333333335
Rio Branco do Sul,2024-01-13T18:00:00Z,76.76381666666667,90.02536666666667,0,0,2.0008333333333335,11.659166666666666,53.66666666666667
Rio Branco do Sul,2024-01-13T19:00:00Z,41.856683333333336,77.59386666666666,0,0,1.9175,11.964166666666667,55.475833333333334
Rio Branco do Sul,2024-01-13T20:00:00Z,2.761916666666667,63.6568,0,0,1.2116666666666667,8.055,54.284166666666664
Rio Branco do Sul,2024-01-13T21:00:00Z,37.69525,75.53056666666666,0,0.03066666666666666,1.2108333333333334,10.100833333333334,55.93416666666666
Rio Branco do Sul,2024-01-13T22:00:00Z,60.56130000000001,82.2171,0,0.007666666666666666,1.4041666666666666,8.745,58.465833333333336
Rio Branco do Sul,2024-01-13T23:00:00Z,51.168600000000005,78.43986666666666,0,9.583333333333333e-4,1.0066666666666666,5.845833333333333,59.9875
Rio Branco do Sul,2024-01-14T00:00:00Z,34.5578,74.72686666666667,0,0,1.6983333333333333,9.51,60.406666666666666
Rio Branco do Sul,2024-01-14T01:00:00Z,23.693533333333335,70.17413333333333,0,9.583333333333333e-4,0.9066666666666667,5.378333333333333,59.9825
Rio Branco do Sul,2024-01-14T02:00:00Z,18.361833333333333,69.82163333333334,0,0,0.485,4.155833333333334,59.49666666666667
Rio Branco do Sul,2024-01-14T03:00:00Z,46.1382,71.8066,0,0.015333333333333332,0.49833333333333335,2.7783333333333333,59.7625
Rio Branco do Sul,2024-01-14T04:00:00Z,23.228483333333333,71.78623333333333,0,0,1.2225,6.7908333333333335,59.83166666666666
Rio Branco do Sul,2024-01-14T05:00:00Z,25.828833333333336,70.95903333333332,0,0,0.6466666666666666,3.1766666666666667,59.57666666666667
Rio Branco do Sul,2024-01-14T06:00:00Z,6.969200000000001,66.71806666666667,0,0,0.3491666666666667,2.3525,58.71333333333333
Rio Branco do Sul,2024-01-14T07:00:00Z,20.75476666666667,73.53933333333333,0,0,0.44166666666666665,2.3575,59.4575
Rio Branco do Sul,2024-01-14T08:00:00Z,15.661050000000001,72.49593333333333,0,0,0.31916666666666665,1.3983333333333334,60.016666666666666
Rio Branco do Sul,2024-01-14T09:00:00Z,23.595283333333334,74.1519,0,0,0.4141666666666667,2.0575,60.343333333333334
Rio Branco do Sul,2024-01-14T10:00:00Z,34.58618333333334,76.20423333333332,0,0,0.4166666666666667,2.754166666666667,61.096666666666664
Rio Branco do Sul,2024-01-14T11:00:00Z,4.78805,62.32826666666667,0,0,0.2966666666666667,2.6658333333333335,57.858333333333334
Rio Branco do Sul,2024-01-14T12:00:00Z,0,53.90116666666667,0,0,0.40750000000000003,4.715,52.7525
Rio Branco do Sul,2024-01-14T13:00:00Z,13.752816666666666,64.03906666666666,0,0,0.5525,5.6325,48.7025
Rio Branco do Sul,2024-01-14T14:00:00Z,30.376716666666667,66.23239999999998,0,0.003833333333333333,0.6258333333333334,4.948333333333333,47.321666666666665
Rio Branco do Sul,2024-01-14T15:00:00Z,13.313966666666667,64.85843333333334,0,0,0.6366666666666667,5.9725,46.605000000000004
Rio Branco do Sul,2024-01-14T16:00:00Z,5.143933333333334,61.21123333333333,0,0,0.6383333333333333,4.923333333333334,43.6125
Rio Branco do Sul,2024-01-14T17:00:00Z,4.49985,59.5349,0,0,0.6625,6.6475,41.885
Rio Branco do Sul,2024-01-14T18:00:00Z,0,36.2981,0,0,0.8525,7.634166666666667,37.13916666666667
Rio Branco do Sul,2024-01-14T19:00:00Z,5.742166666666666,58.52283333333333,1.4193666666666669,0.030666666666666665,0.6766666666666666,5.956666666666666,36.295
Rio Branco do Sul,2024-01-14T20:00:00Z,0.7772666666666668,38.63243333333333,0.4165,0.00575,0.7583333333333333,6.894166666666667,31.906666666666666
