Cidade,sample_day,SO2,NO2,O3,CO,PM10,PM2.5,AQI_SO2,AQI_NO2,AQI_O3,AQI_CO,AQI_PM25,AQI_PM10,AQI,AQI_Qualidade
Almirante Tamandaré,2023-10-05,28.923333333333332,29.7125,23.94354166666667,0.31854166666666667,8.526527777777778,2.6640277777777777,41,28,22,4,15,8,41,Boa
Almirante Tamandaré,2023-10-06,25.500833333333333,19.683333333333334,18.028854166666665,0.120625,7.794548611111111,2.2047222222222222,36,19,17,1,12,7,36,Boa
Almirante Tamandaré,2023-10-07,105.557,45.996,22.2319375,0.48083333333333333,16.74622329059829,6.174909188034188,114,43,21,5,34,16,114,Ruim para grupos sensíveis
Almirante Tamandaré,2023-10-08,70.58416666666666,33.788333333333334,29.806874999999998,0.17162660256410256,4.675486111111111,1.2299652777777779,94,32,28,2,7,4,94,Moderada
Almirante Tamandaré,2023-10-09,26.728333333333335,12.770833333333334,25.950625,0.17072916666666665,3.9851597222222224,1.0625,38,12,24,2,6,4,38,Boa
Almirante Tamandaré,2023-10-10,85.58916666666667,36.704166666666666,27.826875,0.133625,4.8114236111111115,0.8336111111111111,105,35,26,2,5,4,105,Ruim para grupos sensíveis
Almirante Tamandaré,2023-10-11,53.285,29.384166666666665,21.979583333333334,0.060208333333333336,8.481867958430458,1.8791484557109557,73,28,20,1,10,8,73,Moderada
Almirante Tamandaré,2023-10-12,124.281,54.03,27.059375,0.48221563852813853,15.153372113997113,3.3283327922077923,123,51,25,5,18,14,123,Ruim para grupos sensíveis
Almirante Tamandaré,2023-10-13,21.563333333333333,19.98,19.9259375,0.11770833333333333,1.9102083333333333,0.43517361111111114,31,19,18,1,2,2,31,Boa
Almirante Tamandaré,2023-10-14,3.5816666666666666,12.245833333333334,18.462083333333332,0.0033333333333333335,0.9171527777777777,0.19583333333333333,5,12,17,0,1,1,17,Boa
Almirante Tamandaré,2023-10-15,10.534166666666668,13.685833333333333,16.481458333333332,0.009375,2.496770833333333,0.5656944444444444,15,13,15,0,3,2,15,Boa
Almirante Tamandaré,2023-10-16,11.7125,14.494166666666667,13.0025,0.069375,7.306215277777778,1.9757638888888889,17,14,12,1,11,7,17,Boa
Almirante Tamandaré,2023-10-17,78.9509090909091,36.86454545454546,22.429848484848485,0.21801136363636364,8.246849747474748,2.1132228535353534,102,35,21,2,12,8,102,Ruim para grupos sensíveis
Almirante Tamandaré,2023-10-18,51.40833333333333,29.620833333333334,12.937395833333333,0.5146875,16.218020833333334,3.251145833333333,70,28,12,6,18,15,70,Moderada
